Date,Close,High,Low,Open,Volume
2025-12-10,434.75,440.5,434.0,440.5,702
2025-12-11,435.25,440.0,432.5,436.75,257
2025-12-12,431.5,437.0,428.25,433.25,218646
2025-12-15,439.75,441.25,436.75,440.25,182672
2025-12-16,436.5,440.0,435.5,439.75,146742
2025-12-17,440.5,441.5,436.0,436.0,164256
2025-12-18,444.5,446.0,440.5,440.5,178974
2025-12-19,443.75,444.75,442.5,444.0,129516
2025-12-22,447.0,447.75,443.0,443.25,136615
2025-12-23,447.5,449.0,446.25,446.5,123702
2025-12-24,451.0,451.25,446.75,447.0,95803
2025-12-26,450.0,453.0,448.75,451.0,100523
2025-12-29,442.25,451.0,442.0,450.0,169679
2025-12-30,440.5,443.0,439.75,442.0,121253
2025-12-31,440.25,442.5,439.0,440.5,98189
2026-01-02,437.5,440.75,437.0,440.75,143948
2026-01-05,444.5,445.5,436.25,437.25,183496
2026-01-06,444.0,447.0,443.5,444.0,185037
2026-01-07,446.75,447.25,443.75,443.75,155458
2026-01-08,446.0,448.0,445.5,446.0,169477
2026-01-09,445.75,447.5,443.75,445.25,171304
2026-01-12,421.5,448.75,420.0,445.0,570230
2026-01-13,419.75,422.75,417.25,421.75,357198
2026-01-14,422.0,425.0,419.5,420.0,232729
2026-01-15,420.25,425.0,420.0,422.5,193927
2026-01-16,424.75,427.25,420.0,420.25,200728
2026-01-20,423.75,425.5,422.0,423.5,174838
2026-01-21,421.75,427.75,421.25,423.75,155623
2026-01-22,424.0,424.25,421.0,422.5,147104
2026-01-23,430.5,431.25,422.5,423.75,257317
2026-01-26,428.25,431.5,427.25,430.0,158114
2026-01-27,426.5,429.75,426.0,428.25,124209
2026-01-28,430.0,433.25,426.75,427.0,200201
2026-01-29,430.75,434.0,428.0,430.0,180152
2026-01-30,428.25,431.75,425.25,430.75,193268
2026-02-02,425.75,428.25,424.0,428.25,153885
2026-02-03,428.5,429.25,425.5,425.75,158964
2026-02-04,429.5,432.75,425.25,428.5,240663
2026-02-05,435.0,435.75,427.0,429.0,224622
2026-02-06,430.25,436.0,428.75,434.5,240381
2026-02-09,428.75,430.0,427.25,428.75,182317
2026-02-10,428.75,431.0,427.75,428.0,222724
2026-02-11,427.5,429.5,425.25,428.75,252146
2026-02-12,431.25,431.5,427.0,428.0,339184
2026-02-13,431.75,432.75,429.5,431.0,236783
2026-02-17,426.25,431.25,426.0,431.0,194390
2026-02-18,427.0,428.5,425.25,426.25,168146
2026-02-19,425.75,427.75,424.0,426.75,217087
2026-02-20,427.5,428.75,424.0,425.75,249050
2026-02-23,427.5,431.5,425.25,427.25,234474
2026-02-24,427.75,429.0,426.0,427.5,158332
2026-02-25,430.5,431.25,426.75,428.0,118548
2026-02-26,433.25,433.75,428.0,430.0,103287
2026-02-27,438.75,440.0,432.0,432.75,13640
2026-03-02,433.25,441.0,431.75,439.5,5722
2026-03-03,434.25,438.75,432.0,433.25,1549
2026-03-04,431.75,434.25,428.0,433.5,1646
2026-03-05,441.5,442.25,433.75,434.0,385
2026-03-06,447.0,449.5,441.0,441.0,757
2026-03-09,437.5,459.0,437.5,447.25,1326
2026-03-10,436.25,437.75,432.0,434.75,602
2026-03-11,444.25,446.5,439.0,441.0,286
2026-03-12,448.25,453.5,448.25,448.5,135
2026-03-13,452.5,453.5,446.0,446.0,182865
2026-03-16,454.0,466.0,452.0,464.75,279245
2026-03-17,454.0,459.0,449.25,453.75,200108
2026-03-18,463.25,464.5,451.5,454.75,190614
2026-03-19,469.75,470.0,463.25,463.25,214405
2026-03-20,465.5,469.25,464.0,469.0,161723
2026-03-23,459.5,473.75,456.5,465.25,253109
2026-03-24,462.5,465.75,459.0,460.0,184112
2026-03-25,467.25,468.5,458.0,461.25,155914
2026-03-26,467.0,468.75,462.0,466.75,164119
2026-03-27,462.0,470.5,460.75,466.0,179461
