Date,Close,High,Low,Open,Volume,Daily_Return,MA_20,MA_50,MA_100,Volatility_20
2026-03-03,434.25,438.75,432.0,433.25,1549,0.2308136180034559,430.15,433.04,431.2925,0.7275447235392152
2026-03-04,431.75,434.25,428.0,433.5,1646,-0.5757052389176787,430.3125,432.785,431.39,0.7306979959923915
2026-03-05,441.5,442.25,433.75,434.0,385,2.2582513028372997,430.9125,432.74,431.6225,0.8832176938507413
2026-03-06,447.0,449.5,441.0,441.0,757,1.245753114382775,431.5125,432.74,431.9625,0.8808865335553913
2026-03-09,437.5,459.0,437.5,447.25,1326,-2.1252796420581643,431.875,432.54,432.23,0.9814945302735113
2026-03-10,436.25,437.75,432.0,434.75,602,-0.28571428571428914,432.25,432.245,432.4625,0.9801206446214856
2026-03-11,444.25,446.5,439.0,441.0,286,1.833810888252141,433.025,432.13,432.7375,1.0541129758062027
2026-03-12,448.25,453.5,448.25,448.5,135,0.9003939223410251,434.0625,432.25,433.0025,1.0595519806392872
2026-03-13,452.5,453.5,446.0,446.0,182865,0.9481316229782433,435.125,432.49,433.3025,1.0619042784750432
2026-03-16,454.0,466.0,452.0,464.75,279245,0.33149171270718814,436.2375,432.765,433.61,1.0616070863547968
2026-03-17,454.0,459.0,449.25,453.75,200108,0.0,437.625,433.095,433.9525,1.0014380820110125
2026-03-18,463.25,464.5,451.5,454.75,190614,2.037444933920707,439.4375,433.47,434.355,1.071349611836166
2026-03-19,469.75,470.0,463.25,463.25,214405,1.403130059363189,441.6375,433.985,434.7725,1.0795750490360867
2026-03-20,465.5,469.25,464.0,469.0,161723,-0.9047365620010628,443.5375,434.36,435.195,1.1243472251804685
2026-03-23,459.5,473.75,456.5,465.25,253109,-1.2889366272824887,445.1375,434.63,435.5025,1.1857197607993597
2026-03-24,462.5,465.75,459.0,460.0,184112,0.6528835690968515,446.875,434.965,435.8075,1.1849959443194782
2026-03-25,467.25,468.5,458.0,461.25,155914,1.0270270270270165,448.7125,435.88,436.14,1.192265416694806
2026-03-26,467.0,468.75,462.0,466.75,164119,-0.05350454788657366,450.4,436.825,436.5075,1.1955377254282857
2026-03-27,462.0,470.5,460.75,466.0,179461,-1.0706638115631661,451.5625,437.625,436.8125,1.2184615015875002
2026-03-30,455.75,465.75,455.0,462.75,165878,-1.35281385281385,452.6875,438.335,437.0275,1.2251580024297066
2026-03-31,457.75,462.0,451.25,455.5,288867,0.43883708173340086,453.8625,438.995,437.29,1.2257747853333179
2026-04-01,454.25,460.0,448.5,457.5,203129,-0.7646095030038214,454.9875,439.605,437.48,1.2333467932797395
2026-04-02,452.25,460.5,451.25,454.0,0,-0.44028618602091063,455.525,440.215,437.715,1.1480731384062415
2026-04-06,454.0,454.5,448.25,453.0,126749,0.3869541182974112,455.875,440.815,437.9825,1.119722740649357
2026-04-07,449.0,455.0,448.25,454.0,172653,-1.1013215859030812,456.45,441.185,438.175,1.0334945053764912
2026-04-08,447.25,448.25,442.25,447.0,295027,-0.38975501113586164,457.0,441.565,438.3275,1.0359817927916928
2026-04-09,444.0,450.25,442.25,447.25,247651,-0.7266629401900482,456.9875,441.915,438.415,0.970440367490104
2026-04-10,441.0,446.25,438.0,444.75,237015,-0.6756756756756799,456.625,442.135,438.41,0.9575232808297958
2026-04-13,440.25,446.0,440.0,446.0,261260,-0.170068027210879,456.0125,442.325,438.51,0.9266541756490534
2026-04-14,443.0,446.0,440.25,440.5,229083,0.6246450880181609,455.4625,442.62,438.5925,0.9366537571547827
2026-04-15,451.25,452.0,442.75,443.0,235844,1.8623024830699775,455.325,443.13,438.7375,1.0363107930681559
2026-04-16,448.5,452.75,447.5,451.0,171542,-0.6094182825484795,454.5875,443.53,438.925,0.9216945120214177
2026-04-17,448.75,451.0,443.25,448.25,158101,0.05574136008918984,453.5375,443.915,439.1475,0.8478973185813103
2026-04-20,452.0,454.0,446.75,449.0,203127,0.7242339832869149,452.8625,444.255,439.4125,0.8573522148162586
2026-04-21,453.75,455.25,450.75,452.0,175218,0.38716814159291957,452.575,444.725,439.7125,0.8206320976587008
2026-04-22,454.25,457.0,452.75,453.5,169698,0.11019283746556141,452.1625,445.235,440.02,0.8046448312888727
